Raman Shift,Processed Intensity
331.095,45.45714523809508
333.909,-51.23685714285719
336.721,-64.16496428571423
339.531,-33.710746190476186
342.339,-28.496351428571455
345.145,-15.97658523809526
347.949,-29.675876190476203
350.751,-21.022044761904752
353.55,6.082361904761911
356.348,5.640971428571416
359.144,6.7541666666666975
361.937,24.285695238095258
364.729,39.862776190476254
367.518,83.7329380952382
370.306,172.52654761904773
373.091,240.49386666666686
375.874,335.2206095238097
378.656,353.7223809523811
381.435,324.0636285714287
384.212,240.11986666666675
386.988,144.0064071428572
389.761,46.744238095238124
392.532,6.4516833333333485
395.301,2.391125714285753
398.068,24.06429476190478
400.833,36.45083238095239
403.596,7.912688571428545
406.358,-13.377169523809524
409.117,-32.101509523809526
411.874,-6.08453999999997
414.629,40.08901619047624
417.382,66.0263104761905
420.133,57.85961238095243
422.882,57.76999333333336
425.629,60.03523333333342
428.374,132.45780000000016
431.117,243.36502380952396
433.858,276.3713714285716
436.597,289.7112285714287
439.334,223.66734761904772
442.069,151.90479047619058
444.802,132.5177000000001
447.533,147.88702857142866
450.262,159.5372523809525
452.989,219.18446666666676
455.714,221.4971904761906
458.438,225.0021047619049
461.159,197.84580476190484
463.878,130.31833809523815
466.595,87.0431571428572
469.31,57.7402047619048
472.024,54.84377619047627
474.735,95.12168095238103
477.444,114.6284952380953
480.152,129.79998095238105
482.857,145.83412380952387
485.561,167.9769047619049
488.262,182.18885714285724
490.962,163.66871428571434
493.659,157.85393333333343
496.355,138.18198095238102
499.048,129.47178095238104
501.74,120.44659047619052
504.43,84.30616190476195
507.118,79.06042857142866
509.804,119.33786666666676
512.488,139.6242285714287
515.17,195.59642857142867
517.85,189.64484761904774
520.528,187.96980952380966
523.204,182.43844285714292
525.878,155.72680000000005
528.551,121.70163333333338
531.221,94.37266190476196
533.89,66.84454761904769
536.556,95.60262380952388
539.221,107.60853333333338
541.883,124.15689047619054
544.544,127.7804190476191
547.203,107.86870000000005
549.86,90.71606666666673
552.515,79.33055714285719
555.168,87.48203809523817
557.819,102.1305095238096
560.469,113.85487619047626
563.116,147.5195333333334
565.761,155.5601238095239
568.405,158.79257142857156
571.047,176.93738095238103
573.687,174.1434761904763
576.324,185.74959047619058
578.96,181.33259047619055
581.594,169.4690761904763
584.227,148.54416190476195
586.857,135.60954285714297
589.485,137.71698095238108
592.112,152.631761904762
594.737,132.97594285714294
597.359,153.03794285714295
599.98,149.8678095238096
602.599,148.60995238095248
605.216,173.40914285714297
607.831,182.07600000000008
610.445,192.84938095238107
613.056,180.77690476190486
615.666,183.38304761904774
618.274,182.85747619047632
620.88,191.00909523809537
623.484,213.07485714285727
626.086,250.62461904761915
628.686,253.98966666666684
631.284,295.0730952380954
633.881,300.6337142857144
636.476,280.097523809524
639.068,262.46133333333347
641.659,243.7214285714287
644.249,208.5886666666668
646.836,212.48783523809533
649.421,160.03311857142862
652.005,111.3154466666667
654.587,56.71084095238097
657.166,36.404789523809555
659.745,17.487540000000028
662.321,37.620640000000016
664.895,13.369911904761898
667.468,11.539376190476194
670.038,0.21870476190477905
672.607,16.449871428571456
675.174,37.989076190476226
677.739,58.687747619047634
680.303,54.254453333333366
682.864,50.92156761904763
685.424,24.873885238095248
687.982,22.677137142857173
690.538,38.89713285714289
693.092,36.909206666666684
695.645,32.279273809523815
698.195,22.001890476190468
700.744,-19.452133333333336
703.291,-3.2785295238094996
705.836,19.850925714285722
708.38,27.074032380952406
710.921,48.62399809523812
713.461,58.73414761904763
715.999,33.971214285714325
718.535,50.75933333333337
721.069,64.14162380952386
723.602,80.87563809523816
726.133,85.86191904761908
728.662,86.42970000000004
731.189,53.670180952380974
733.714,54.34139523809529
736.238,62.72518571428576
738.759,65.10349523809526
741.279,49.71076285714288
743.798,36.49579142857143
746.314,16.883630476190504
748.829,14.96610380952383
751.342,29.501844761904792
753.853,45.344715238095276
756.362,55.39632000000003
758.869,65.367880952381
761.375,71.3516285714286
763.879,56.297080952380995
766.381,59.772838095238136
768.882,60.204723809523855
771.38,66.92346666666673
773.877,70.11698571428575
776.372,73.78295238095242
778.866,65.01409047619052
781.357,79.7130190476191
783.847,95.49657619047625
786.335,118.12443809523818
788.821,112.45193809523816
791.306,108.00112380952388
793.789,111.62719523809534
796.27,142.5667523809525
798.749,162.67547142857157
801.227,199.99940000000012
803.702,225.8706666666668
806.176,240.09742857142874
808.649,244.82119047619065
811.119,254.46952380952393
813.588,232.70857142857156
816.055,216.44200000000012
818.521,204.95504761904775
820.984,185.48523809523817
823.446,156.1747142857144
825.906,151.7377142857144
828.365,161.69809523809536
830.821,170.34114285714296
833.276,164.38109523809533
835.729,149.246761904762
838.181,146.12871428571438
840.631,153.78930476190487
843.079,156.22935238095246
845.525,157.2114190476191
847.97,132.7836095238096
850.412,113.42328571428578
852.854,99.27422857142864
855.293,101.76605238095242
857.731,61.28118571428573
860.167,44.297185714285746
862.601,35.33937142857147
865.034,54.69527142857149
867.465,61.93810476190482
869.894,102.30797142857149
872.321,103.9975952380953
874.747,131.24693333333343
877.171,135.53482857142868
879.594,149.29206666666676
882.014,146.14042857142869
884.433,157.5109523809525
886.851,176.1687142857144
889.266,221.21152380952395
891.68,230.73752380952394
