Raman Shift,0.05uM_0uM_0uM_1,0.1uM_0uM_0uM_1,0.5uM_0uM_0uM_1,0uM_0.1uM_0uM_1,0uM_0.5uM_0uM_1,0uM_0uM_0.1uM_1,0uM_0uM_0.5uM_1,0uM_0uM_0uM_1,0uM_0uM_10uM_1,0uM_0uM_15uM_1,0uM_0uM_1uM_1,0uM_0uM_20uM_1,0uM_0uM_5uM_1,0uM_10uM_0uM_1,0uM_10uM_10uM_1,0uM_10uM_15uM_1,0uM_10uM_5uM_1,0uM_15uM_0uM_1,0uM_15uM_10uM_1,0uM_15uM_15uM_1,0uM_15uM_5uM_1,0uM_1uM_0uM_1,0uM_20uM_0uM_1,0uM_5uM_0uM_1,0uM_5uM_10uM_1,0uM_5uM_15uM_1,0uM_5uM_5uM_1,10uM_0uM_0uM_1,10uM_0uM_10uM_1,10uM_0uM_15uM_1,10uM_0uM_5uM_1,10uM_10uM_0uM_1,10uM_10uM_10uM_1,10uM_10uM_15uM_1,10uM_10uM_5uM_1,10uM_15uM_0uM_1,10uM_15uM_10uM_1,10uM_15uM_15uM_1,10uM_15uM_5uM_1,10uM_5uM_0uM_1,10uM_5uM_10uM_1,10uM_5uM_15uM_1,10uM_5uM_5uM_1,15uM_0uM_0uM_1,15uM_0uM_10uM_1,15uM_0uM_15uM_1,15uM_0uM_5uM_1,15uM_10uM_0uM_1,15uM_10uM_10uM_1,15uM_10uM_15uM_1,15uM_10uM_5uM_1,15uM_15uM_0uM_1,15uM_15uM_10uM_1,15uM_15uM_15uM_1,15uM_15uM_5uM_1,15uM_5uM_0uM_1,15uM_5uM_10uM_1,15uM_5uM_15uM_1,15uM_5uM_5uM_1,1uM_0uM_0uM_1,20uM_0uM_0uM_1,5uM_0uM_0uM_1,5uM_0uM_10uM_1,5uM_0uM_15uM_1,5uM_0uM_5uM_1,5uM_10uM_0uM_1,5uM_10uM_10uM_1,5uM_10uM_15uM_1,5uM_10uM_5uM_1,5uM_15uM_0uM_1,5uM_15uM_10uM_1,5uM_15uM_15uM_1,5uM_15uM_5uM_1,5uM_5uM_0uM_1,5uM_5uM_10uM_1,5uM_5uM_15uM_1,5uM_5uM_5uM_1
331.095,88.62964494700135,74.73123917762088,70.60837452429784,84.75494132876071,62.84371919648953,76.58678224398794,86.49402721189985,95.1696845663372,101.5898020798403,113.73872348333653,69.91587824845271,104.35275046329996,93.52988967784175,114.95307354975019,88.82909722059189,91.15160539837349,80.91521868378403,120.26784254327832,94.15612930864779,83.14644108351776,93.29295184619066,66.29153919141989,99.92677953149531,120.8058563412957,77.19793798066733,69.90710805560339,84.51698000364128,116.12840055857896,88.93176918024831,68.71806960591876,71.57876523783291,92.83491789453093,73.10734361058014,104.33395326318833,93.76312664731715,93.7917631766763,69.32675148051011,88.87178957888973,120.44753048022328,119.0994612629814,78.42012258905872,129.1398086055261,84.27999544551739,114.25613228077252,80.73545820828822,64.44210377702984,88.08277299456329,119.38503565016403,96.63866573238045,73.60798382563463,89.85729802059468,103.31669519132645,85.56455165547031,76.05994086824207,82.9851712419109,93.9553525766255,70.69132456171565,78.86909517849661,87.10521397599445,65.88105522724594,122.19686846844893,107.73705706225735,53.44778732203736,65.87006182760835,63.33069087797495,108.83857301898034,117.56154309771323,81.78916039772857,146.03809159115417,106.98871082658063,76.99688368267927,91.47859633075534,121.86385474449874,127.63939110473346,101.30885545036226,65.83734712671502,94.85613841068874
333.909,49.78659615283385,49.867736627127464,33.32886495062409,38.025298947204476,31.018106580508384,39.452069956173574,37.523923484770044,53.094310409873174,46.134334728607826,94.06722316440452,29.248165581951316,87.00802988876785,62.86219213088589,94.92992624773301,69.17201309695112,71.21811086995355,54.030120494250546,101.20650733277564,83.47885158256815,33.903364151035156,73.9671155827678,19.928561602889868,109.9863237001601,81.16564278334538,49.53896419265806,44.953877690304694,46.05874068846216,59.995043072479426,37.89159269091672,43.43271756465873,25.011835290295817,39.901428851108335,35.57809006186054,72.5868722247776,53.00699700945245,52.87132839480046,39.21541135480887,65.53275758639218,99.73219394119637,91.24465707804,39.668747945319545,108.40118581915101,33.90973011496516,54.53107556797526,41.70488227872005,43.341728029418356,35.67705310358762,63.70752857892353,76.39904561832348,26.431660272064125,53.042867502150635,68.61416786799514,57.43035806770433,49.23530820222603,43.623040910186944,42.383215690086196,49.37278423032569,36.15953680065278,29.534717440564275,17.711444139041532,61.403247935230524,53.36456741810682,28.9265180911306,31.681199933830328,11.304049114505688,81.67190699735492,107.6873170729438,49.13539390533879,114.72200173263867,102.44997295291915,56.95337562122531,71.5712629527029,96.27373349971664,95.03135748922439,65.22638618838623,35.78294295870887,66.81584378333314
336.721,24.916733751922134,31.344003224253203,8.802514167126029,15.528330152503921,16.792223449614028,17.710904314591758,14.469023812537708,28.85711819075605,35.006519745364336,100.19182415862728,13.054082893482738,98.48090533269568,52.59369669041638,100.63961712887823,68.40732661555745,72.91179785874789,50.356850241302915,116.69003548223519,81.91047470433575,27.668710838471913,76.46599764387476,-0.05593149115359589,126.74809785063161,69.13567026769353,44.85742400804071,46.48871832391885,37.08306314422375,40.334633333965336,29.832014666633654,40.29294368108543,8.004790522891634,28.076700677343506,34.53645541529405,78.78213960057168,51.834459103240114,52.12576909572457,33.71512187880328,65.19271515790223,110.37688930161266,80.91190472038744,34.75142259303963,101.96382232822413,26.450820955235013,33.895831839755296,37.09159678766067,39.90462657618705,28.03198418499581,53.5659188630637,71.99808380311934,25.13620124555352,52.77110439782973,60.06262640784026,45.226066625100295,50.490696980748034,44.00127361927908,26.529759319066404,48.654938031890175,30.442925736865373,10.486446528715268,-5.021997790866408,42.84046369909887,33.41135336926006,27.618386823828853,36.86137746618639,-2.357613872619936,73.2048385831463,100.60818442695631,50.5279279861081,104.64960907874519,105.93722616745647,65.8441387166788,82.30875067586386,96.67303921735059,85.53462399714795,55.88776861279187,40.08086820818703,64.16333154121448
339.531,12.402011047001983,19.264213103919115,-4.435948548117381,9.764043416714268,14.24940941601731,8.04662630702581,9.197392392877967,18.090061862972163,51.741089506070786,124.89726005632349,12.729470503495483,130.53950316201866,58.30080159422753,121.19326879541053,81.93782443367597,89.6007310296405,61.7009715679504,151.36427234216882,89.88850808417119,48.282767233292304,93.20627402116448,-2.2730445785291713,149.2815564123956,76.98678419883329,55.76443625381688,63.907470277803725,49.576066929290086,47.16107182981326,50.496099544362096,55.94458814949047,14.30763808374428,43.36768709095751,59.26022474920732,107.20448803617842,77.71774451460556,78.57592797628797,46.13838997348493,81.4350045016452,142.56218413726856,84.17760498073284,54.050098807062305,108.32078659505889,48.93105416052352,40.878190276792814,58.21505423743965,52.24191695725708,51.41146392282576,72.22410731954102,80.10245660269464,54.27022520833625,75.17396212511507,70.34263668686962,49.6530747565972,71.5691703526926,69.62682209977442,37.57554840771913,63.398904135696135,50.0387143106827,19.203465492625906,-9.103986200214251,55.05019462771933,37.95381457052156,45.9053433015907,66.71615655855375,11.755430460443145,78.22904531700102,99.60193468633223,75.30565970065258,110.82092822591204,115.92270337778747,94.39140288362982,113.15634641780788,113.71456185165748,92.48253671531472,65.93884618249069,66.59779611377012,79.10694449306611
342.339,12.159121279605529,18.823825178816378,-8.850787741832315,10.100519711550191,14.797421319647848,4.621163658726179,10.030483723569148,16.840788925430463,73.35097128583277,158.16372356926394,18.32196838218863,169.19834739067096,75.82877298426439,138.7298046095511,103.85381096754003,115.2164852726903,74.12203254607083,184.75703148896696,111.22051963526907,74.65825659605979,114.17507586418964,-2.2217657258742443,176.67799918183542,95.65056837167286,71.24415106177732,79.95321007158128,75.11317421080987,65.19264732192748,83.19835809529992,86.67536996543936,36.86583580225439,69.34088410193834,98.83572948904639,135.1485916588879,114.05668292194571,114.6027855079496,67.99813319393718,109.89060462324039,179.08573355648858,98.51798403104887,86.08662542352408,128.26477607007982,83.55184375410964,58.92163735155282,92.79353276912438,78.55699147492072,92.38496305254682,98.69502655794726,97.62985174734222,94.92502395679874,98.60365016654718,89.82526141246406,76.51894766054663,103.05011617740098,98.92729057516817,67.75870633569188,86.91224339880118,78.8913705871574,43.33163388289305,-1.5761677719579363,84.34299319708752,54.11301511759939,80.62470507819283,94.96877123160056,39.19082004744954,86.53027410656505,112.97316658953952,110.39877229430198,128.87389978884366,131.32111917970346,129.9305086594889,149.6547522010751,136.3120284082572,107.31263390414726,86.56119689325601,99.98295274051729,102.02468725555441
345.145,23.78831574376331,13.004035052107023,1.096729072427782,17.140984109188878,19.949193198345483,14.460752525674646,17.837397019045056,20.19268891306507,98.2647972327004,199.80775066737047,21.04491103498263,227.01133071139813,101.07350005700415,161.05484907352272,139.30910933533156,137.71447203184783,97.35520031391742,211.29298712088416,142.8916848613089,102.51546619871048,138.23952261491362,13.450127346235263,210.06645432314983,122.19753153729592,95.95534471251466,102.99601926411533,109.62102288774201,102.09113570271381,118.4447959536862,136.08156045339547,77.86990214653413,95.31777550608952,140.26003724761145,163.67106062804461,157.61720352333234,161.21334231617854,98.26859914572891,136.9196878196435,235.43272872831153,114.26942269576438,129.38287459696633,157.080590416045,136.43625550749303,91.37247079255957,146.91735827412674,124.4361982258326,134.3612640843083,123.82497830540542,121.73806522910286,138.4746487385424,131.26260316356573,120.63953076129108,119.11143411759559,139.93457207832304,135.09915733373234,104.37194776534953,120.92912515437443,118.50292584561856,76.04461526499655,11.6755846072352,125.54036118459639,82.18267015631102,134.3647975069135,140.62818952666854,81.33053674229295,113.81791559253566,134.63762523256685,149.11366400375366,152.6350002350409,151.85178363827868,176.40892284382144,192.28418159455654,157.9079722634758,131.87320637021122,115.738016419186,134.65463148840053,129.12296588741177
347.949,22.222221120337924,11.0549171076849,6.198337843029094,17.337900563336138,24.11748485942013,18.236896809835297,19.850360447264848,18.19942557020956,109.07989053192672,240.40485083946092,23.469793320180276,269.9102341817917,120.84459942016849,171.3530409079501,156.36531626839897,163.66819420508497,112.45809412630393,218.70439982242178,159.85447880109234,108.46360432154096,150.33621545966238,20.169287562318534,233.4867042263917,139.28850825441933,109.94571278875469,109.2046182368441,128.47072885217625,136.6344305687177,134.783120865391,173.57989488956238,105.47070085026631,114.10202433075067,173.03123690336187,172.5477928282561,196.86170154305213,190.73110473441912,122.45382452270411,157.5878190302103,278.12908350587804,129.42608730090012,155.93297173202822,178.54812060526464,160.1577847617082,117.56810399120202,185.69573751009955,160.30817292662698,156.6360889150524,131.64781200129144,143.61171699871983,169.92115500511625,150.58146578813339,135.4383257156126,149.22426776254198,163.10555047301503,163.38853698289688,133.86576201088695,149.5706517301712,143.196871258764,95.8663063310889,16.433082343513416,162.00551583825995,96.5140764666749,175.94313335969449,178.23415976661454,114.8809915560718,122.478983276602,149.6648725478742,179.75041654624147,168.9178675923312,168.06837479909402,203.17394461385052,221.87012282151827,168.81799137255925,141.59295307682058,136.20353300017914,159.12877109281928,149.94552593624385
350.751,11.431203870558287,9.174994785398951,-0.42879555579313927,7.127899322896894,12.11984756735391,13.311612630940196,6.434579916955063,2.670659166162617,113.46703728452172,257.941304020671,14.529251940568846,302.86415788341924,129.23546389388804,170.65034613026728,159.23089829232512,166.1631042191362,112.38122951591312,221.81485820173612,163.21618543350655,116.13572867877481,149.2271990350532,4.654065701614836,254.97262882583638,147.06852005831908,118.85029031282352,105.97792053909917,125.85289428240749,158.91595950856342,137.4118785079412,189.97007936283225,114.30722553957638,124.55487856624104,198.18713637714504,180.72338905467532,218.69507934132994,199.8943084533081,132.57573701801184,173.29394090205778,297.8634702561864,122.20640972956274,169.3421920818168,177.40168722317955,174.67290424093562,132.15156065270173,204.65061502636664,179.59166280303853,158.07067882159086,127.37005577291525,157.3184109974414,183.1773471647581,156.48100618917627,142.27735663769735,165.52225419769857,176.9699112221988,168.4661887353901,141.18274715405508,161.79129407812948,161.98919742890757,108.12818653575856,7.4067391710137445,176.39935445865532,96.79191594957445,200.91336241879455,203.33836792777865,124.80060999064995,130.5295132843141,160.3705609579561,194.3345493230031,172.1870065214861,177.61787786613863,213.0510862431464,236.6012050422402,176.05814139853047,139.5454780244947,137.32099375799086,174.82451775211035,164.28417619963395
353.55,-2.3782102260562397,2.4735483843233133,-3.965085629621342,-5.984883527603283,7.549661046796719,-1.6260576033599592,-10.04667445142608,-7.441040743312158,130.08517902072438,292.1256797421004,5.83651512361278,338.2522020985566,137.95660496266186,169.14145049820615,159.97151806672494,171.07240654868505,119.24580372444207,226.96587767090458,165.57224041582052,117.04986532032069,152.69243107043368,-7.1708017573701754,275.2208663786664,151.22234297896333,125.92717347141598,112.3835316778681,125.30936196775627,183.5252511845415,147.28165180261357,200.68479763573464,122.73478118529874,133.51581499254345,207.7755080279757,188.100845976061,233.532216095486,199.98092788417708,153.049161997041,191.3378429824072,324.2670937850853,111.46976589013967,180.27339702881682,184.46894226400318,181.9361515486543,142.67465994133445,223.6392999306245,195.65386635204132,157.80608873939846,123.28362677628293,167.24128419553284,200.2552773033921,169.06260086759997,146.5020783521705,174.81112001101997,194.70440094548732,177.86998501283793,141.47785700729904,176.3868353404765,181.71737043216578,100.6101994778222,-5.3418044652876615,184.02570469514706,90.33386863723048,220.56924487796326,228.8060315198857,137.5220602293631,131.11457523906384,173.20136575906272,204.76147203544494,179.6153425951903,181.07988152256735,217.86193794729786,252.4855567001476,177.92828122200024,137.27271570284435,133.4517224408617,188.67851741378757,167.15102042275657
356.348,-13.523250098260045,0.7087160114000994,-1.455982140684739,-10.97641920735208,-1.3012422128473038,-1.7028962402623924,-5.470156757462159,-11.048124065039568,153.48816870554552,333.3531340582382,5.504852076251969,388.09950252418645,153.0737571320827,186.3941360802731,165.7898051694906,182.95786023555237,129.85957637185035,244.95341986111535,168.17489128230318,128.87488943829433,164.77780758587622,-3.398393681204444,294.18804567223293,154.30388458296034,136.09324134036743,130.66966060597272,134.98322360164786,195.80588336658616,164.43633959160903,218.40678149745483,132.1503877774712,137.64977030757697,229.40766738215248,203.85902687561997,259.67297716363754,215.52495536382924,170.7671466306775,204.03921821252084,346.5069573257653,113.6172811686216,185.92720052453464,188.81373918033515,191.00529602887897,150.89763019708144,244.60645773501335,217.00488421510212,169.19970376362934,130.21227169559214,180.1504445196814,221.80791850880095,178.5804655830522,151.72587506963745,183.9303776672501,218.3548669402891,198.48309433508493,150.29301315626196,195.39715568568067,203.96494278328046,111.18361840910809,-8.479041128079814,196.190463731008,87.13625744970919,257.13116442616416,257.6651125135757,157.20821148645757,134.78209265987837,178.1298381398482,226.87585793623404,183.31241149764674,189.2999218705116,233.18806447562238,272.938116248898,188.23827559383858,140.81272162182705,140.393621612594,212.04968425126359,173.94116518646987
