Raman Shift,Processed Intensity
331.095,107.78483161796885
333.909,67.10321156206646
336.721,68.64900027390922
339.531,101.0888751940829
342.339,154.6371543586065
345.145,209.55580717283738
347.949,281.22589375675034
350.751,286.5047185759686
353.55,305.82107931087467
356.348,318.4609919162176
359.144,346.80579663309345
361.937,374.0464544771203
364.729,396.3740342028168
367.518,384.3130564108433
370.306,390.7215043219039
373.091,469.7432155030392
375.874,557.6174164510694
378.656,608.6787333665106
381.435,535.8333934037037
384.212,385.9401878256758
386.988,174.5247684923488
389.761,45.97013482492093
392.532,1.7547398178903677
395.301,8.11916747963187
398.068,7.018524558706304
400.833,1.836737032068413
403.596,-32.66105735637757
406.358,-50.94754440831366
409.117,-35.54274477946001
411.874,-50.20448139836935
414.629,-67.78551967486874
417.382,-26.804997701153297
420.133,-15.400815161326136
422.882,27.813206870251634
425.629,115.50921032275164
428.374,230.64527777688454
431.117,384.8463659383224
433.858,550.5471567519362
436.597,700.611098992219
439.334,789.6637355679977
442.069,781.235554636658
444.802,734.3810311945581
447.533,692.631002000785
450.262,657.0878976437643
452.989,721.4257365126296
455.714,779.318690197163
458.438,779.5839346020257
461.159,741.9435486800339
463.878,698.5959369749526
466.595,669.834871211915
469.31,618.4780556973665
472.024,622.4861689094682
474.735,595.2009527075602
477.444,582.9166348749318
480.152,590.6418278520846
482.857,646.1947608033065
485.561,655.4889878737331
488.262,727.9143345416496
490.962,782.2416534946046
493.659,825.0990090769428
496.355,883.3050045944956
499.048,941.4878239049635
501.74,1014.2280825321245
504.43,1092.9159644943084
507.118,1186.3226448471705
509.804,1303.8383788931228
512.488,1496.3296390098176
515.17,1655.0438705262486
517.85,1836.0380571226683
520.528,1974.6072862304932
523.204,2052.522838241741
525.878,2134.1274185756147
528.551,2242.239913554609
531.221,2306.06014628062
533.89,2342.6450610824745
536.556,2319.7658603444265
539.221,2275.193712763228
541.883,2191.747366367088
544.544,2175.6264758203456
547.203,2157.4115963948198
549.86,2144.2546541316337
552.515,2172.117035050667
555.168,2243.4838648361833
557.819,2306.364002808192
560.469,2412.7186073223547
563.116,2502.6992249794416
565.761,2604.9334988823975
568.405,2743.0965911791386
571.047,2830.4349865577196
573.687,2906.0522005034077
576.324,3015.6230589843335
578.96,3107.298454327622
581.594,3175.6577201431323
584.227,3177.9943395805262
586.857,3057.3159393006395
589.485,2923.0585691611127
592.112,2847.800981902042
594.737,2749.07415092685
597.359,2620.123169035553
599.98,2515.8120043008885
602.599,2361.242541658724
605.216,2280.2307673556115
607.831,2245.3543819677707
610.445,2279.5718419914992
613.056,2340.3175919097716
615.666,2561.787772449339
618.274,2798.55926217113
620.88,3105.4944333463795
623.484,3436.8840030708525
626.086,3750.0184558076307
628.686,4009.2356564061106
631.284,4243.4446535971765
633.881,4337.697102535998
636.476,4262.282496868641
639.068,4092.109115084386
641.659,3763.4183002014183
644.249,3326.689215642952
646.836,2819.7340773038727
649.421,2312.3648141887675
652.005,1783.9644909547474
654.587,1375.7253971209243
657.166,1028.458564849333
659.745,776.8318581544158
662.321,609.7033002077455
664.895,494.64487683323205
667.468,375.08538762136277
670.038,315.3580589482126
672.607,249.41482366111632
675.174,226.11202933577943
677.739,219.0199560571873
680.303,183.04185801004542
682.864,128.98538602160033
685.424,90.94353391398818
687.982,70.53272771372076
690.538,59.89281962308905
693.092,51.40137713043032
695.645,46.43559858496201
698.195,51.03899697753923
700.744,32.20713673538057
703.291,-4.017100835249494
705.836,-37.448246899095466
708.38,-55.61535206263807
710.921,-1.809569967733296
713.461,70.96349303082889
715.999,149.03142189441178
718.535,170.29311293329647
721.069,197.1235605061047
723.602,164.46911990970648
726.133,146.65705598340992
728.662,112.53842504648264
731.189,68.10714731185953
733.714,36.16669834748245
736.238,19.615848156673565
738.759,-8.217980693863865
741.279,-19.340593041284592
743.798,-39.94813918907266
746.314,-87.23661392189251
748.829,-85.49706980615974
751.342,-103.59178287156465
753.853,-63.954236731371566
756.362,-39.06530583387439
758.869,-24.35802084271154
761.375,-34.455667350502154
763.879,-32.64797983058679
766.381,-17.46257368399756
768.882,11.573146523090145
771.38,12.408174060005877
773.877,20.658372746514033
776.372,34.60647347726945
778.866,56.963975508179374
781.357,99.63304774276321
783.847,125.89700144708468
786.335,125.08695344088164
788.821,136.43896547916802
791.306,229.90356458621181
793.789,381.3362157704664
796.27,562.9258899775905
798.749,756.909346329197
801.227,913.6663667425428
803.702,1018.1959429311751
806.176,1123.925796738908
808.649,1189.0457099976074
811.119,1208.9360924802195
813.588,1164.7870260442692
816.055,1089.1696897277443
818.521,1010.4173086545038
820.984,920.9584838920591
823.446,815.6981413569797
825.906,686.3032426250506
828.365,553.8218290747623
830.821,480.0639707927098
833.276,469.22081071707953
835.729,454.9597992573322
838.181,410.0913574853121
840.631,336.99744508826143
843.079,279.1553664171006
845.525,253.51871939185867
847.97,245.56501107377062
850.412,250.0099399040446
852.854,216.9026303235728
855.293,193.72086739264705
857.731,187.56156950591458
860.167,188.4741182501889
862.601,188.98416445273142
865.034,189.04600565811916
867.465,149.51877312890838
869.894,127.16642837012341
872.321,138.0387120346909
874.747,148.18542616222157
877.171,177.9421449892052
879.594,214.93021147350328
882.014,193.3424481045422
884.433,194.13362961827534
886.851,188.4014319026228
889.266,189.6721428076712
891.68,217.80542057491857
894.092,246.6133379808025
896.503,253.81275981356748
898.912,296.4539108263234
901.319,270.1108484519982
903.724,283.26241170877483
906.128,273.1017415340898
908.53,261.4410392138725
910.931,272.7591819546342
913.329,304.0112432174669
915.726,273.9618225758459
918.122,280.2802803353343
920.516,269.5407340580532
922.908,256.50776937286037
925.298,285.6126269760016
927.687,307.8579610603374
930.074,277.38926441122385
932.459,244.06629350240337
934.843,236.12973168713006
937.225,214.01070953215776
939.605,249.75937277077264
941.984,240.90202168440237
944.361,233.2030123889831
946.736,237.8552295498971
949.11,275.5277019540604
951.482,286.8417895105749
953.853,299.37117977519983
956.222,252.02283685576867
958.589,253.13223603190272
960.954,244.27288408899994
963.318,252.49441108079873
965.68,222.274947806226
968.041,203.14016995291013
970.4,180.85377081212528
972.757,163.98888637469372
975.113,149.49952042688165
977.467,133.29196964630273
979.819,78.3676772692479
982.17,58.061324853249516
984.519,32.040828801551925
986.866,22.878765459013266
989.212,48.81427239847699
991.556,81.84828304048278
993.899,122.88638263968505
996.24,146.64356903318458
998.579,129.644251484096
1000.92,104.17463047749743
1003.25,64.61602989733728
1005.59,39.111562536671954
1007.92,23.185176560282798
1010.25,25.836892443482157
1012.58,64.73327800615425
1014.91,78.0645924528053
1017.24,87.44955205405813
1019.56,65.93533392339987
1021.88,34.188055984388484
1024.2,35.01659027120604
1026.52,84.80113813396656
1028.84,105.77894830117202
1031.16,132.47289208502343
1033.48,126.31051477720484
1035.79,131.29070609228984
1038.1,161.26941823018979
1040.41,197.0072887005149
1042.72,212.1696440993178
1045.03,217.136027695361
1047.33,198.381155587821
1049.64,170.23682524494143
1051.94,146.7490621379293
1054.24,130.86859970817795
1056.54,123.68897838212433
1058.84,122.06559696704608
1061.13,107.9966688087784
1063.43,131.14703509226456
1065.72,144.61007338022182
1068.01,201.81246329465694
1070.3,230.75228553171655
1072.59,219.90378754321455
1074.87,192.59833969435522
1077.16,208.21491523097666
1079.44,191.22771310394182
1081.72,219.39663793637737
1084.0,245.33873237187754
1086.28,296.0519903750801
1088.56,394.6296467227262
1090.84,545.450656970906
1093.11,662.7987488508757
1095.38,685.338616522019
1097.65,629.5444957771879
1099.92,544.8430249623248
1102.19,439.80372494370613
1104.46,381.9961457418408
1106.72,396.89463221299184
1108.98,388.87832782593296
1111.24,436.0883212958497
1113.5,507.47526940871785
1115.76,591.5136865123482
1118.02,677.2971863883854
1120.28,767.6337241243068
1122.53,805.8075046520994
1124.78,805.6266055726383
1127.03,738.9467904562594
1129.28,666.3857983338057
1131.53,559.9900141400572
1133.77,469.42494868096355
1136.02,449.403813838976
1138.26,481.782764445044
1140.5,592.7037591982303
1142.74,691.3564692043701
1144.98,750.3116150861579
1147.22,759.9019231408543
1149.45,743.222129117034
1151.69,684.319458181817
1153.92,647.6222001261963
1156.15,558.987332189407
1158.38,506.65290378806003
1160.61,443.47613553099563
1162.83,406.3143753769946
1165.06,338.64415003058184
1167.28,291.7516449092677
1169.5,201.63746982506927
1171.72,148.87380561841928
1173.94,106.93774126826565
1176.16,106.30651576406899
1178.37,91.07656950160936
1180.58,86.10640520261404
1182.8,34.06421073913498
1185.01,-16.57213708967174
1187.22,-63.896021161729095
1189.42,-63.09588977907379
1191.63,-49.59811177349002
1193.84,-14.162219791983262
1196.04,8.595267824211078
1198.24,19.5817815152368
1200.44,29.942966799383157
1202.64,36.77695146219412
1204.84,28.467662376143835
1207.03,19.541954890573834
1209.23,19.526745947349355
1211.42,77.28234060937484
1213.61,167.6214749296023
1215.8,235.40455136182163
1217.99,277.8253503619285
1220.18,288.2205515130013
1222.36,274.4506832218003
1224.55,277.900120034325
1226.73,282.66755614184285
1228.91,252.75647888691446
1231.09,220.1704041741914
1233.27,218.53192140500914
1235.44,235.7493574596083
1237.62,313.4929644888766
1239.79,426.623488658468
1241.96,527.0493103214985
1244.13,681.4407270483871
1246.3,873.1823318947804
1248.47,1090.6587250028138
1250.64,1364.1592728214118
1252.8,1688.211438755167
1254.96,2075.723637622734
1257.13,2517.080471067609
1259.29,2940.523677254629
1261.44,3263.437842471218
1263.6,3423.9694460619685
1265.76,3406.407810125131
1267.91,3295.0422396852837
1270.06,3032.0667819136306
1272.22,2746.818318681619
1274.37,2428.967040066954
1276.51,2111.8021559548356
1278.66,1818.9937981153903
1280.81,1617.1644460906246
1282.95,1446.079400700432
1285.09,1303.694400405726
1287.23,1212.8699043382612
1289.37,1160.5139467590193
1291.51,1110.2488010403968
1293.65,1130.5062150769713
1295.78,1200.2416943153194
1297.92,1255.1725943076399
1300.05,1346.5876418368025
1302.18,1426.3469322318801
1304.31,1495.8343076360702
1306.44,1591.3383067031623
1308.57,1717.8616857226039
1310.69,1874.3118921255004
1312.82,2021.5486808477708
1314.94,2130.0031592647288
1317.06,2247.7254035542405
1319.18,2297.0511226789263
1321.3,2312.268322368366
1323.41,2265.80777862511
1325.53,2139.623987421177
1327.64,1976.1951620135924
1329.75,1817.618468355156
1331.87,1641.800498600463
1333.98,1476.4572684214436
1336.08,1282.2094524181484
1338.19,1102.1061909581094
1340.3,925.5298493966498
1342.4,774.100777297187
1344.5,620.9630200324968
1346.6,496.59383990978586
1348.7,416.27990396241694
1350.8,409.974424122609
1352.9,371.3447735845998
1354.99,368.58200792971775
1357.09,298.92467196574444
1359.18,263.6587970424571
1361.27,235.3083745576505
1363.36,210.30201993935088
1365.45,166.68725567564252
1367.54,151.4162229159374
1369.62,141.44091688174785
1371.7,185.4274698965255
1373.79,235.94662489167558
1375.87,248.52135176972024
1377.95,261.43636852937107
1380.03,230.83337667629803
1382.1,217.6634394910484
1384.18,186.44888410647673
1386.25,174.42615596613132
1388.33,126.83153042549156
1390.4,96.94872911511902
1392.47,42.20415535142365
1394.54,28.547843833155184
1396.6,-2.498922995441717
1398.67,-13.415041725443189
1400.74,-10.203392644352334
1402.8,33.94249817991886
1404.86,74.63846196214809
1406.92,102.92873673758368
1408.98,101.4764490197872
1411.04,112.23028593466961
1413.09,175.32926259261467
1415.15,312.4836799367936
1417.2,482.26084449624113
1419.25,643.4660262341713
1421.3,795.332940205813
1423.35,891.3332758352949
1425.4,910.7957500020602
1427.45,850.3346839367955
1429.49,748.2309610697553
1431.54,628.7653658314557
1433.58,537.5519224533828
1435.62,453.72837662584016
1437.66,396.3371533462773
1439.7,345.84917191047
1441.74,331.54480376085075
1443.77,322.4186398586412
1445.81,317.7985437702796
1447.84,333.72660951575335
1449.87,356.9115479883594
1451.9,367.8239305173224
1453.93,429.7438133827977
1455.96,501.9512194737231
1457.98,618.1547151837749
1460.01,771.9676063549296
1462.03,975.0984199353229
1464.05,1215.0175761132914
1466.07,1544.4335842609453
1468.09,1954.197810306311
1470.11,2495.828291724518
1472.13,3106.414504909943
