Raman Shift,0uM_0uM_0uM_1,0uM_0uM_10uM_1,0uM_0uM_15uM_1,0uM_0uM_20uM_1,0uM_0uM_5uM_1,0uM_10uM_0uM_1,0uM_10uM_10uM_1,0uM_10uM_15uM_1,0uM_10uM_20uM_1,0uM_15uM_0uM_1,0uM_15uM_10uM_1,0uM_15uM_15uM_1,0uM_15uM_20uM_1,0uM_20uM_0uM_1,0uM_20uM_10uM_1,0uM_20uM_15uM_1,0uM_20uM_20uM_1,0uM_5uM_0uM_1,10uM_0uM_0uM_1,10uM_0uM_10uM_1,10uM_0uM_15uM_1,10uM_0uM_20uM_1,10uM_10uM_0uM_1,10uM_10uM_10uM_1,10uM_10uM_15uM_1,10uM_10uM_20uM_1,10uM_15uM_0uM_1,10uM_15uM_10uM_1,10uM_15uM_15uM_1,10uM_15uM_20uM_1,10uM_20uM_0uM_1,10uM_20uM_10uM_1,10uM_20uM_15uM_1,10uM_20uM_20uM_1,15uM_0uM_0uM_1,15uM_0uM_10uM_1,15uM_0uM_15uM_1,15uM_0uM_20uM_1,15uM_10uM_0uM_1,15uM_10uM_10uM_1,15uM_10uM_15uM_1,15uM_10uM_20uM_1,15uM_15uM_0uM_1,15uM_15uM_10uM_1,15uM_15uM_15uM_1,15uM_15uM_20uM_1,15uM_20uM_0uM_1,15uM_20uM_10uM_1,15uM_20uM_15uM_1,15uM_20uM_20uM_1,20uM_0uM_0uM_1,20uM_0uM_10uM_1,20uM_0uM_15uM_1,20uM_0uM_20uM_1,20uM_10uM_0uM_1,20uM_10uM_10uM_1,20uM_10uM_15uM_1,20uM_10uM_20uM_1,20uM_15uM_0uM_1,20uM_15uM_10uM_1,20uM_15uM_15uM_1,20uM_15uM_20uM_1,20uM_20uM_0uM_1,20uM_20uM_10uM_1,20uM_20uM_15uM_1,20uM_20uM_20uM_1,5uM_0uM_0uM_1
331.095,62.66373168862957,36.90659411791364,16.916066497732302,70.15335249725248,-1.1747793968255726,43.785692917686866,45.47852993054169,74.52619522734241,58.166802869612894,51.98236045386888,64.88750159774422,36.15617424523796,53.91960138460295,48.69660717821056,16.03324478214284,23.342645866401988,52.3040402455925,43.13982757992261,54.664140619780014,3.5177847738094528,40.12456519656067,31.321879656862734,34.813956827353174,56.96493015476183,67.09869374603164,54.7816582857141,14.609061580388435,29.645958341736616,53.84403519155837,44.444912515746665,53.40474984717593,71.5337247312924,43.26751543879541,60.049301190786636,33.84727037477938,49.33965314761886,52.05263681632646,47.05895268408806,41.96494191883102,59.38276839814799,51.90919011255395,56.71882535999984,49.49799956239304,63.1850936563491,68.73473733486928,49.63984022791489,61.64225892516983,55.89443242307678,79.89786336808214,38.52888090324208,-7.277795114718693,74.21370274548417,52.57054668898797,80.74859792790986,55.5673533873872,44.64388537728922,58.48950470742615,74.78259361451235,33.09667212788756,69.96261582678562,87.0489671804876,42.561832866795186,66.21024503611089,64.63454840998817,86.93294518045097,77.17525861507912,29.36653076895917
333.909,-3.006190827405377,-31.504032530045443,-42.27621408390034,-14.018041408425015,-69.42615121230173,-5.27533320952388,-0.133246654515656,3.84824865437779,-10.010376096756065,-17.504924110119116,14.08436911842101,-14.642237953174684,-21.60540277333347,-15.860428419913521,-0.07427341071433054,-18.15649621296302,-16.358467487031486,-10.970517342278066,-22.861663553296832,-14.690311259259282,-21.68545949593266,-2.7751424089636574,-3.1270291445737044,18.771823190476145,15.499203761904653,-1.9151727166667676,-17.92393621140358,7.502969880952329,18.273252579004282,8.26340553982679,1.0511215537097607,20.56793248639451,-8.675566423249395,24.59872255574526,-24.12644923985895,-9.882676128571564,12.613964238095173,8.06581227293838,-16.950280890692735,14.137355522486692,4.266223463203404,13.052842210340058,-2.311905817704615,22.12331499999993,21.766546190476117,3.4092428712740754,-13.101119510884486,8.1704119731379,15.94368084169874,4.20741064944269,-48.33072975613278,2.8864899072248313,0.5606475022320594,8.439825577380871,-19.673949341698965,-0.37266571855932595,12.971508198866161,26.406290681405864,6.063274076971888,40.25287208452379,11.59804858821126,2.9850297728442072,0.5361510179486274,6.287559211382052,27.68738723057636,21.355769545351375,-42.59111961904778
336.721,-22.45330459358608,-49.15556137868483,-59.06003509410438,-32.21281553205127,-82.30333753373024,-17.723945595238103,-12.372161086535305,-24.88822988709682,-36.5828932032069,-43.363871775297625,-8.641882086466168,-33.224371660317516,-33.14454878476194,-37.186476662337704,-5.114443289285748,-28.71607612962964,-37.71691521165149,-26.922091345945965,-48.10612446648358,-19.558964999338624,-40.45297009206356,-20.66893967787121,-15.783816723809554,1.7298148690475998,-2.345158880952448,-13.39258483809527,-27.25755378245618,0.9094723977590687,3.738742293290022,-4.6796166822510985,-14.77683344296794,0.7135918180272002,-25.9195387106443,14.125896636335352,-42.09807811816576,-25.757284133333417,-4.546400402210922,4.755405283391398,-38.40474657575765,3.901858988756589,-4.170805175324675,3.0172802172788975,-20.22532126532361,5.957261619047588,2.4241770199692474,-6.054216876756757,-31.572697833333393,-7.7901845799756,-3.7170090810811103,-2.455448715298919,-62.37007885569986,-14.500446506568187,-19.991261089285754,-19.732541769841294,-45.747356839768415,-3.5430030610501038,-1.899713924263042,9.893473512188216,-1.7896271483760593,19.06796191666665,-4.100020310917575,-3.301189240669261,-21.17075096135534,-5.436216218931463,6.054898223057609,8.892903851473895,-54.02917915873025
339.531,-15.66914468134111,-36.76374987641725,-49.32247731065761,-13.253551424908409,-62.5773773888889,-11.579649248979594,-4.623763098850565,-24.595987671274955,-35.779023385625,-40.37831500000001,-11.623582266917287,-30.678911965079372,-8.216565066349187,-30.7645508975469,-3.827497753571431,-20.69450423544973,-28.466471535359673,-20.404304670270275,-39.273315523626366,-17.10924377513228,-32.41433971474868,-24.437258865546216,-11.452467764230336,-0.5661871011904662,0.842229984126993,1.3824876547619245,-21.56969336390978,4.320599705882362,3.2410691147186244,-1.375251870562758,-8.348942383167211,1.658222666666679,-19.93409911260504,18.30513921190478,-34.066030105820104,-15.539801133333325,-5.21742349149659,20.85405538211384,-34.21797287121213,11.823631857142871,9.336415333333354,13.000141416054444,-16.58105231721612,4.959382419047628,1.91311622119817,6.521066192741334,-17.70786623265305,-3.628167616605607,4.011821491634513,7.260493312563335,-56.97646202453105,-1.2829577832512136,-19.099346007440474,-17.69277003042327,-39.73513183655083,15.230573884004908,2.5292496551020567,14.082796656462609,2.904196060903556,5.248105827380958,14.26059348350758,9.602455682110701,-16.08724805628815,9.769908708478537,10.040281166666691,21.87688238662135,-30.20986514638448
342.339,-15.455428248396508,-27.998645607709765,-35.87439306575964,-5.4733482527472495,-41.39630480555557,-22.898748639455793,2.0018900985221775,-7.192800748079869,-26.591775889985122,-24.821044755952382,-6.197804385964903,-22.75545812222222,14.259447493015893,-11.62440966089466,-4.296364747619047,-12.979197645502646,-10.761881377710218,-10.606823159330764,-18.644000324542127,-23.141122376984132,-19.22915655383599,-7.948238599439771,6.759877200221486,5.992711885714295,9.649635365079378,17.75767046190477,-6.722497010025063,12.24235016526612,6.533798435064952,9.34746453538963,3.0949609977851678,11.964916727891174,-0.9098551901960701,20.55276286997931,-20.555967640211637,-5.759294911111103,6.704486688775524,29.84916340766553,-18.59037165584415,7.611257829365077,19.556195412698425,26.68373618476192,-8.224573408791205,5.944178459259262,9.261906829493105,20.54408641184043,-9.843834082993196,4.022673920634929,13.671253740025755,17.506753165146925,-38.40254681962483,7.064862839080467,-6.234987913690476,-3.2662524193121527,-18.602292956241953,26.97715535775337,8.308936121315208,24.165289672902528,14.090062850256421,-2.495872000000003,31.902484830197476,17.936069826254847,-10.617630706898657,23.24607580836239,28.879985421052663,35.594468443310674,-6.369684652557314
345.145,-5.800038772789125,-6.45208857142858,-19.63426208843538,14.160679454212461,-25.80758239285716,-20.34126572517008,14.589010532019703,10.343464718894017,-14.057230494970241,-12.826002684523823,10.076431471177946,-11.27657777936508,29.732351631428582,-8.631980554112573,0.5043659357142826,2.246921545238093,11.004354768389062,-10.88857855920208,3.1805881408424974,-11.315035630952389,-3.7030090343254014,0.27377964985994685,12.938279436434112,11.827724480952385,11.02919265396826,27.02805216904762,-0.2632957583959955,14.800815068627458,16.96389338095238,30.040266442207802,3.33673748624584,21.810260874149666,13.306869842577035,27.621337896790898,4.4049067442680885,9.480354257777783,23.845430447278925,45.99211030662025,5.336750053030307,7.939974486772489,26.36909522943723,31.62146382911566,5.33824674529915,6.077854833862432,19.46185856528419,36.90561285070787,5.959704504489794,16.420899913308922,31.419168683397704,30.613560526950366,-16.933432919191933,18.403494814449925,4.970961915178574,19.925787214285734,-8.591135392535403,26.129091090354102,24.90407971428572,39.32323572789117,23.307682546862036,-3.3611684880952373,38.888245114982595,34.426556595881614,-1.658916547130651,31.306599573751466,42.32323952756895,43.44830961564628,13.609515723104053
347.949,-15.196143845481066,-6.375213877551036,-7.7757810476190645,10.532037093406588,-22.166258662698436,-27.056966219047645,11.455551830870274,9.311474030721952,-4.91382540773811,-9.750813562500012,5.618275824561395,0.7953066587301557,29.988949380634924,-8.005980252525255,-3.1923288316666807,-4.0719378747354575,16.450140953596755,-25.899883787644807,7.816974489743578,-6.033723935185195,0.0631386071428527,11.471639439775911,0.07201631871538142,9.679621690476187,15.932376922222222,17.92386142261904,-2.6774058016290754,17.009593365546223,20.133057008658014,30.45347516374459,-0.39213163136213836,20.817402346938774,13.654552358263306,26.134385069772268,13.422908490299813,17.613348930793652,18.246768093537412,35.67631478513356,11.066775870129867,5.743309411375659,21.135882735930736,26.222066540952394,7.436991508913307,-3.5580877809523876,21.84331381566821,27.64368595624195,4.62841587591836,14.442843356532357,34.20784404761906,26.26983934305979,-14.308386375180378,10.014139862068964,1.655413601190475,26.45845137671958,-9.983857718146732,19.72885760439561,23.602963202947848,35.954046522675746,16.084347361953593,-3.7036599476190424,28.746894881533112,35.67104864736166,0.456824476739923,32.952471756097566,48.957039818295755,35.20276103061226,10.651173195767194
350.751,-20.301177273760942,-17.826454943310672,-14.193551734693878,8.95775354212455,-30.77695450396827,-37.22476067755104,-1.7247839211822698,-2.9381957019969382,-12.963738379464301,-20.553301318452412,-1.7122107578947434,-0.819540752380954,16.683799222222234,-9.166905956709961,-16.0510129929762,-5.365583818253976,8.128258074569398,-42.45317599099102,-0.1548155824175828,-11.765990697089954,-9.738952940410075,4.552032492997194,-11.168356419822837,2.1519579440476155,8.83528271904763,7.260790979761905,-6.157503521804524,15.115575075630261,5.466247367965366,15.744096146969701,-14.296242475348853,7.207248600340135,4.673480774229688,17.362090100103536,-6.6570764955908475,12.283072575873023,6.875915612244894,21.342408365853665,2.9269918677489084,1.4913440343915356,-0.8899999682539771,21.402534858231295,-5.1453334695970785,-8.049567920634924,7.270499021505376,14.106195705276706,-5.397773203265312,2.4968862478632494,22.65055783526383,10.726679184599801,-12.690853203463213,2.584497515599343,8.334362635416669,16.366829044047613,-19.488409119691138,9.030869364080598,13.682198541950115,23.401409746031746,2.744285517753342,3.6929192249999963,11.311193500580726,23.814351450450467,-0.2435707442735024,17.347983882694546,34.669718112781965,25.910696120181417,-2.1763272328042387
353.55,-30.377014247424718,-25.152282619047636,-7.042728451247169,11.078555802197808,-22.43342998015873,-37.01182077823131,-9.319852492610835,-14.287195569892473,-21.178531016369046,-43.539913505952406,-11.502469180200503,-4.303880755555559,6.086889793650792,-7.542236909090909,-24.144445158571436,-11.43121490701059,-4.285113095643363,-61.006913835263866,-2.6729548113553068,-10.936907707671963,-25.864141362169327,-0.6441185630252116,-32.80968453001109,-1.3412233142857135,6.175134046031743,-1.750416559761905,-18.14243794398498,10.83147691176471,-6.299068750000003,3.0429816590909087,-26.711667559557046,-1.698067785714285,-1.6230928319327722,21.865256743478284,-20.793845995590843,7.872280281904759,-5.2851147397959215,9.40861665737516,-14.59475303322512,-6.856842873015876,-13.519068924963916,10.612644625850345,-13.03425474945056,-9.383189217989422,5.662342362519214,-2.732470277992281,-7.233999699047625,-3.077219096459092,1.6484289117117137,6.806479074366769,-10.824321515151517,-2.589144545155993,-3.400629266369053,1.206889184656084,-21.280937588159595,13.092477618714296,1.4589454988662145,3.2796219285714274,-15.44112270329671,-6.4591594142857165,3.531844408826958,14.09598441184042,0.5024032172039121,6.012426067363544,12.940451096491232,9.79109905328799,-11.848344571428571
356.348,-36.36771313440235,-22.58357539682541,-4.460171324263037,6.941297586080576,-8.648824960317448,-22.7545211319728,-3.7849920131362844,-15.691124740399378,-13.231838741071424,-42.41037825000002,-8.77361531027568,-4.745060339682541,1.3741554380952428,-7.77271288888888,-27.895173841547614,-8.000846432010583,-5.673256960486318,-45.68868050193051,-1.713953324175812,-4.358995038359792,-26.23344761587303,-1.350051399159649,-31.529642427464015,-8.288495010714282,1.274168520634926,-7.115816070476188,-27.983830523057655,10.16782950560225,-4.9224126731601645,-0.33083824458873323,-19.733842843012187,-2.359484646258493,-8.198465336134445,21.23134208178055,-18.968600035273372,1.8856808869841222,-5.945479231292505,20.83876286527296,-23.572973350000005,-5.0912315568783075,-10.767177318903315,0.9247942176870796,-19.81567115848597,-10.019764426455023,9.717514781874057,-8.528758552123547,-11.457902642721097,4.978296057387073,-2.5258874248391234,0.7895576030395253,-4.761088744588735,-2.5427914778325102,-6.403214485119043,-7.253979368121691,-17.608031666666662,16.10735928871063,-3.613795111111109,-6.723649730158722,-13.585372009768,-2.734916616666661,6.611112768292699,9.180943980694988,2.0549883733577516,12.892128231126604,0.8668661258145438,10.716614708616786,-3.36636247619046
