Raman Shift,Processed Intensity
331.095,155.8640928103423
333.909,66.69806009138938
336.721,26.291104618829195
339.531,30.64324196191683
342.339,90.635471209338
345.145,139.48217149088487
347.949,240.6596889752691
350.751,290.83492386796115
353.55,327.341536456639
356.348,353.60853410902564
359.144,423.0650487469147
361.937,446.6641619392476
364.729,488.54958713805263
367.518,454.8175900096385
370.306,429.32652781337947
373.091,436.36353163767035
375.874,504.6445219692114
378.656,557.3142242622871
381.435,510.4223749842404
384.212,367.01897528000427
386.988,177.01144939852202
389.761,51.25989835725886
392.532,-30.089551155172558
395.301,-28.747588352586718
398.068,-13.995988496213613
400.833,5.502875787220546
403.596,-26.62728933314247
406.358,-27.57192895568369
409.117,-82.65896417439762
411.874,-54.59688165848456
414.629,-61.0937787324965
417.382,-58.095466292640594
420.133,-30.92834028766356
422.882,11.319643889930376
425.629,51.41798958821528
428.374,182.42219698463668
431.117,285.9118263705668
433.858,418.3714247018852
436.597,558.0476615260204
439.334,640.9493220518534
442.069,660.56158593391
444.802,670.8460203422605
447.533,678.5739063657666
450.262,665.8500416057936
452.989,733.3984475318389
455.714,786.276648265718
458.438,761.1137588895704
461.159,740.7771451824256
463.878,712.6581309758262
466.595,628.1481816999303
469.31,622.8293736439146
472.024,597.7601013115964
474.735,598.1417371580164
477.444,593.8900532307784
480.152,649.9209285256998
482.857,673.9598658662503
485.561,687.1610325925317
488.262,729.7739202978673
490.962,813.0957188511284
493.659,843.7570237523737
496.355,923.2456387265929
499.048,985.239902126953
501.74,1036.656299052332
504.43,1142.6494544172301
507.118,1272.8026022121576
509.804,1412.2704357164066
512.488,1562.921957710826
515.17,1742.816664023921
517.85,1957.966441363657
520.528,2114.906988958797
523.204,2236.6025735335697
525.878,2325.255546187113
528.551,2366.40157355863
531.221,2386.623916611582
533.89,2433.0296141797976
536.556,2412.963761751657
539.221,2367.485695016199
541.883,2329.3213638854154
544.544,2257.4823731832043
547.203,2169.7897852390925
549.86,2189.5407796248273
552.515,2253.127693843333
555.168,2337.371349731966
557.819,2428.378189389578
560.469,2506.0164587226272
563.116,2550.7733433722447
565.761,2638.183533212733
568.405,2759.448263040556
571.047,2824.4353056442696
573.687,2892.631345826843
576.324,2984.9038782374896
578.96,3038.7869147273277
581.594,3042.814310752655
584.227,3088.9483298734617
586.857,3055.484398728143
589.485,2979.8130048653306
592.112,2948.943499337637
594.737,2871.9326612001632
597.359,2787.694214389965
599.98,2745.665487462657
602.599,2700.8074066623576
605.216,2659.4616318487806
607.831,2699.0172162338426
610.445,2747.291551832567
613.056,2817.4351244377713
615.666,2927.7410304995346
618.274,3087.883065433227
620.88,3356.9157166894456
623.484,3675.7027282525232
626.086,4072.9647127580774
628.686,4432.850573134389
631.284,4722.318448053289
633.881,4890.51665738104
636.476,4884.688457153046
639.068,4649.457746929501
641.659,4292.257634293897
644.249,3765.711380303913
646.836,3157.9181068470684
649.421,2554.6908849487563
652.005,2003.7472040326352
654.587,1526.8042030858091
657.166,1207.5786637287474
