Raman Shift,Processed Intensity
331.095,171.055953358612
333.909,77.80923268050037
336.721,73.26909685999271
339.531,113.10222966712718
342.339,114.16582526915045
345.145,127.29331961958769
347.949,139.91345518062553
350.751,167.78839326455864
353.55,213.20420732761113
356.348,278.44709054947725
359.144,305.08908722238357
361.937,319.6071574734751
364.729,300.6689086538854
367.518,315.79927910875085
370.306,343.42817432818356
373.091,427.4619126220646
375.874,536.4260993662651
378.656,551.8942155345726
381.435,521.1066824211093
384.212,425.780402553215
386.988,286.0611577471914
389.761,165.80934049737834
392.532,103.17139965094248
395.301,9.722714654094943
398.068,-29.103815915963878
400.833,-31.541566771485122
403.596,-37.29969163643409
406.358,-19.182155868052632
409.117,-16.040105777436565
411.874,-68.67662291920533
414.629,-101.08481374145413
417.382,-114.16209140496221
420.133,-60.42446533702332
422.882,27.231538305063168
425.629,83.19551395416147
428.374,118.90504525007236
431.117,172.22662404668472
433.858,214.6937122762738
436.597,253.9352800042825
439.334,280.96148634123756
442.069,256.4969794022909
444.802,194.9332438857955
447.533,158.42380579475184
450.262,159.64610382491492
452.989,170.3728845624173
455.714,217.234073871874
458.438,253.81198161781322
461.159,249.54603019563956
463.878,173.78034020545556
466.595,124.43036374493931
469.31,80.98285103554008
472.024,78.16248371534994
474.735,135.59850813197545
477.444,154.6818530446585
480.152,126.70796959964082
482.857,113.97205225789685
485.561,91.24521210381954
488.262,107.39350729676198
490.962,131.56840209400434
493.659,158.96866378349432
496.355,179.98322281491664
499.048,183.76260435933136
501.74,169.40940748786443
504.43,176.31164149323968
507.118,222.7617764970305
509.804,287.9091273902377
512.488,370.331285392926
515.17,486.0817400900419
517.85,532.2613109910512
520.528,590.4943409943339
523.204,622.262032708727
525.878,581.9024514417324
528.551,577.0390996162978
531.221,611.5333007114082
533.89,628.3889641550581
536.556,647.8478264077053
539.221,623.1513587123809
541.883,614.6836272257597
544.544,600.3522483873198
547.203,573.8741061932542
549.86,577.584878994202
552.515,577.0580901024923
555.168,577.4860631612942
557.819,629.1084965613841
560.469,668.8315140483992
563.116,690.8943343777009
565.761,688.0597504930565
568.405,700.137942038647
571.047,671.0340973948942
573.687,651.2722261904682
576.324,679.7570670523965
578.96,672.4407572609243
581.594,646.89426430914
584.227,642.8788174625997
586.857,603.9649583665696
589.485,580.1992107008891
592.112,567.4374165014865
594.737,551.7256915295297
597.359,539.6337615929478
599.98,527.6359179155743
602.599,548.7300677443923
605.216,576.5329754329641
607.831,583.8040749534366
610.445,622.3502347894955
613.056,628.7400466388472
615.666,667.2085903061825
618.274,756.4193414532765
620.88,828.8927460157629
623.484,938.7205089056092
626.086,1025.3751208088402
628.686,1092.5193849832513
631.284,1197.7207059609
633.881,1279.546330631536
636.476,1270.2776369450953
639.068,1218.9101368998881
641.659,1095.8677652450801
644.249,930.9076443736521
646.836,784.1677063582069
649.421,660.9286007010683
652.005,508.327983036761
654.587,368.6462324059212
657.166,268.4493113863459
659.745,133.96972146214466
662.321,68.01126791669276
664.895,28.23477710654106
667.468,10.72952802103373
670.038,33.3942076514536
672.607,52.508345422308594
675.174,32.01803444743109
677.739,43.25022756924909
680.303,16.436557207580336
682.864,-2.619984446496346
685.424,1.5502061918014078
