Raman Shift,Processed Intensity
331.095,101.62797537189772
333.909,53.677418280113216
336.721,39.93749765571374
339.531,52.90822366008797
342.339,89.30391249167587
345.145,141.93414892832197
347.949,134.3704631553096
350.751,112.47015045055696
353.55,128.6619956317145
356.348,119.37485464611973
359.144,168.94242663694604
361.937,200.12707362839183
364.729,208.31030687754674
367.518,226.3975589405436
370.306,261.4848605006159
373.091,326.14456481521074
375.874,402.6634531154755
378.656,446.3284590533731
381.435,430.5695360059344
384.212,347.62633390331666
386.988,239.97678081877257
389.761,129.95614074909008
392.532,73.56654758551258
395.301,45.57225337037835
398.068,18.499638458518348
400.833,-1.458016416576811
403.596,-30.916710457552654
406.358,-52.53980787987848
409.117,-29.609456471564954
411.874,-50.264676138354844
414.629,-38.02516756515479
417.382,-44.83893358428304
420.133,-32.46323945631957
422.882,7.7734703142259605
425.629,59.0191740154537
428.374,84.7553950419192
431.117,157.03527738868297
433.858,207.34070876439773
436.597,220.53468179964193
439.334,194.81365525524188
442.069,159.9932485639274
444.802,120.69869827674893
447.533,97.07912403330602
450.262,121.42655643673197
452.989,169.46163159535217
455.714,202.3335713786173
458.438,236.6677827206645
461.159,215.85155216197063
463.878,146.65307372434972
466.595,79.17381011926909
469.31,45.84847300379488
472.024,43.77833656986468
474.735,65.06455113356242
477.444,58.04622329941685
480.152,67.348024419995
482.857,72.16589429359965
485.561,61.02894119613802
488.262,94.32324667490366
490.962,131.19662272330652
493.659,124.70147037615288
496.355,131.6995430668294
499.048,137.86194807972606
501.74,123.81200514550846
504.43,165.50620027448576
507.118,220.8532348280837
509.804,244.90450316172974
512.488,298.42552264870073
515.17,325.134030370632
517.85,340.2714131413609
520.528,366.2693756260096
523.204,395.5594656029298
525.878,413.2397420827856
528.551,410.9319196181159
531.221,395.4480364224155
533.89,371.07617010827425
536.556,383.43758199693275
539.221,397.2486233326017
541.883,409.844546258691
544.544,406.0366481273727
547.203,426.9694158091406
549.86,412.1681461928524
552.515,428.9199000191011
555.168,420.463979523111
557.819,421.0395489347752
560.469,430.69515974059914
563.116,452.86018070754744
565.761,442.0590850497497
568.405,424.2447852142618
571.047,428.2272057620621
573.687,433.4351895823861
576.324,411.48792791658207
578.96,404.4330570486359
581.594,354.60380261474484
584.227,319.9999334367035
586.857,301.3830010695756
589.485,290.5144364922262
592.112,277.0603134645171
594.737,317.59134997974843
597.359,321.7733859075802
599.98,358.795955875044
602.599,382.896100242795
605.216,407.31074750993
607.831,448.84814433785186
610.445,501.5069046217491
613.056,529.8093442763666
615.666,537.8967207836727
618.274,548.1006632167168
620.88,537.3717451206367
623.484,567.7556764412766
626.086,605.9647335490381
628.686,672.8539511675021
631.284,721.2306476353842
633.881,768.3306168351546
636.476,761.1990820264155
639.068,735.071649679277
641.659,666.2314537839225
644.249,600.056776350651
646.836,505.5448583861107
649.421,419.2642822981102
652.005,352.0692590623321
654.587,258.57582015095613
657.166,192.352295175564
659.745,153.91931333956654
662.321,104.32123346205344
664.895,74.3642406683166
667.468,47.902062127988756
670.038,28.97882565032387
672.607,24.971918279474266
675.174,13.591987746915038
677.739,1.6924706375739333
680.303,5.507694495342548
682.864,8.033838457440652
685.424,35.886084540138654
687.982,18.39386472807928
690.538,-7.6848434975099735
693.092,-20.068269249650257
695.645,0.43011579957010326
698.195,16.234941609584894
700.744,12.627996132957833
703.291,2.9863293399371287
705.836,-3.6939284712766494
708.38,6.583394492879961
710.921,10.719282514386123
713.461,8.043350599405585
715.999,-16.92424138829665
718.535,-10.187065070120525
721.069,23.060919152218275
723.602,47.05441734076612
726.133,51.26633241645072
728.662,38.503008839905306
731.189,15.52328681611084
733.714,-17.294824453347246
736.238,-25.6208068513522
738.759,-14.02876961680795
741.279,-5.426015958119024
743.798,-11.195898033477079
746.314,-2.5787685960015096
748.829,-6.862456992926809
751.342,-7.477508201798173
753.853,16.193292419054842
756.362,23.957774643646644
758.869,26.814380997818716
761.375,20.380735807288602
763.879,38.75078567427022
766.381,55.828130430287274
768.882,72.94506837470476
771.38,67.71973675135496
773.877,45.294204606110725
776.372,5.048756120656435
778.866,1.3637929938681737
781.357,31.143641585107616
783.847,92.19750291465334
786.335,107.57278361651765
788.821,120.31699831982905
791.306,115.52538631592756
793.789,115.1028139397522
796.27,126.38281980836791
798.749,149.98475529758844
801.227,170.09949644717244
803.702,201.5846796755477
806.176,227.86946130405977
808.649,227.76403898597823
811.119,213.9358398021734
813.588,205.00475597584045
816.055,186.16219011103794
818.521,180.1234337645542
820.984,186.4609983987316
823.446,168.6522320485774
825.906,149.2697931317291
828.365,142.07688616318205
830.821,122.83678318430498
833.276,108.59853566804622
835.729,134.17316261461406
838.181,153.562219599537
840.631,160.95779639315447
843.079,142.5996574372473
845.525,113.25142994071302
847.97,50.62917292762177
850.412,54.25851771384896
852.854,83.99847505037019
855.293,89.89857559988945
857.731,110.38934374681071
860.167,103.42515235958581
862.601,72.48422041021013
865.034,43.94956297466456
867.465,32.537560280978596
869.894,5.869383900149387
872.321,19.32813722277251
874.747,38.96361498329952
877.171,24.587539561787025
879.594,31.344987761840457
882.014,41.000103302842945
884.433,62.936095026464045
886.851,63.72666367459851
889.266,60.897904857784624
891.68,36.07116440457753
894.092,41.34398894901415
896.503,71.05202889902648
898.912,99.91189378581566
901.319,99.78305523226868
903.724,106.66784515947529
906.128,130.23526351704913
908.53,134.0114526801242
910.931,159.90350517967568
913.329,126.43755714712916
915.726,72.99688175896745
918.122,75.96474458610305
920.516,96.05773513371764
922.908,126.23052695253159
925.298,145.3425425119774
927.687,110.82461807337813
930.074,72.34566856311199
932.459,80.38411435054854
934.843,74.65645088312522
