Raman Shift,Processed Intensity
331.095,84.97069657245265
333.909,-39.05627157404524
336.721,-84.18605754448981
339.531,-73.08531950917131
342.339,-45.39688912181191
345.145,40.87928459586237
347.949,77.79090565525803
350.751,114.33810150206864
353.55,127.80676484598916
356.348,153.91141929996593
359.144,170.5095135908823
361.937,184.36333481785096
364.729,205.47335028195357
367.518,225.26869217310468
370.306,268.46430892360695
373.091,329.8228784664507
375.874,429.67862625553425
378.656,443.93733376207183
381.435,413.88587078052296
384.212,313.5255372583497
386.988,168.23873845908247
389.761,56.312802982540234
392.532,40.17808649933659
395.301,-0.7824959431900425
398.068,0.09987190877609464
400.833,19.970392202421863
403.596,14.545899490349711
406.358,19.210107253007664
409.117,-6.081619709534607
411.874,-68.27844371499486
414.629,-66.51975436195198
417.382,-71.51610749392466
420.133,-49.215887473067596
422.882,16.670878704635015
425.629,126.05345921446315
428.374,238.46039604569296
431.117,404.42043813089776
433.858,532.272059460216
436.597,642.7825010051474
439.334,689.6239554994931
442.069,693.1830855536336
444.802,652.3229227211928
447.533,612.6685760895025
450.262,608.1786551557825
452.989,689.2405022271319
455.714,736.4797105348052
458.438,740.0458328246955
461.159,721.898089947802
463.878,663.0910794507081
466.595,592.6319127374736
469.31,582.670685564864
472.024,544.9290437756831
474.735,545.8430347464046
477.444,548.372625501454
480.152,559.2874113036901
482.857,560.0713718639299
485.561,582.0181037409538
488.262,574.564147979599
490.962,595.6223177488464
493.659,621.772168837047
496.355,664.1647558614418
499.048,717.9035789538648
501.74,803.0445780654977
504.43,887.4056510811502
507.118,973.5666481240073
509.804,1067.9646039556183
512.488,1194.65563704256
515.17,1304.457801004036
517.85,1414.66536463092
520.528,1506.6678538095466
523.204,1575.9024267788477
525.878,1640.5205351017635
528.551,1724.1022036842837
531.221,1762.7512631754248
533.89,1756.42867760532
536.556,1736.9049196423484
539.221,1692.569488707412
541.883,1653.6690005167752
544.544,1625.402419482054
547.203,1620.778195872103
549.86,1617.6618791653987
552.515,1660.82373140242
555.168,1755.7958643475476
557.819,1828.776995698583
560.469,1915.870538629591
